id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
4;Addiko Bank d.d.;Kratkoročni evrski depozit 91–180 dni;400;500000;EUR;91;180;days;1.0;0.0;1.0;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Depozit 3-5M;400;500000;EUR;3;5;months;1.0;0.0;1.0;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba (3-5M derived from 91-180 days)
4;Addiko Bank d.d.;Kratkoročni evrski depozit 181–270 dni;400;500000;EUR;181;270;days;1.35;0.0;1.35;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Depozit 6-8M;400;500000;EUR;6;8;months;1.35;0.0;1.35;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba (6-8M derived from 181-270 days)
4;Addiko Bank d.d.;Kratkoročni evrski depozit 271 dni–1 leto;400;500000;EUR;271;365;days;1.4;0.0;1.4;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Depozit 9-11M;400;500000;EUR;9;11;months;1.4;0.0;1.4;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba (9-11M derived from 271-365 days)
4;Addiko Bank d.d.;Dolgoročni evrski depozit >1–2 leti;400;500000;EUR;12;23;months;1.6;0.0;1.6;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Dolgoročni evrski depozit >2–3 leta;400;500000;EUR;24;36;months;1.75;0.0;1.75;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Dolgoročni evrski depozit >3–5 let;400;500000;EUR;37;60;months;1.75;0.0;1.75;regular;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;redna ponudba
4;Addiko Bank d.d.;Dolgoročni akcijski evrski depozit >1,5–2 leti;400;500000;EUR;18;23;months;1.6;0.1499999999999999;1.75;special;pdf;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-03-28;akcijska ponudba
