id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
4;Addiko Bank d.d.;Kratkoročni evrski depozit 91–180 dni;400;500000.0;EUR;91;180.0;days;1.0;0.0;1.0;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Kratkoročni evrski depozit 181–270 dni;400;500000.0;EUR;181;270.0;days;1.35;0.0;1.35;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Kratkoročni evrski depozit 271 dni–1 leto;400;500000.0;EUR;271;365.0;days;1.4;0.0;1.4;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Dolgoročni evrski depozit >1–2 leti;400;500000.0;EUR;13;24.0;months;1.6;0.0;1.6;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Dolgoročni evrski depozit >2–3 leta;400;500000.0;EUR;25;36.0;months;1.75;0.0;1.75;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Dolgoročni evrski depozit >3–5 let;400;500000.0;EUR;37;60.0;months;1.75;0.0;1.75;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;redna ponudba;addiko_depoziti.csv
4;Addiko Bank d.d.;Dolgoročni akcijski evrski depozit >1,5–2 leti;400;500000.0;EUR;19;24.0;months;1.6;0.1499999999999999;1.75;https://www.addiko.si/static/uploads/Obrestne-mere_obcani_Veljavnost-od-01.02.2026.pdf;2026-02-24;akcijska ponudba;addiko_depoziti.csv
8;BKS Bank AG;Depozit 6M;1000;;EUR;6;6.0;months;1.2;0.0;1.2;https://www.bksbank.si/fizicne-osebe/varcevanje/varcevanje-vezane-vloge;2026-02-24;redna ponudba;bks_depoziti.csv
8;BKS Bank AG;Depozit 12M;1000;;EUR;12;12.0;months;1.3;0.0;1.3;https://www.bksbank.si/fizicne-osebe/varcevanje/varcevanje-vezane-vloge;2026-02-24;redna ponudba;bks_depoziti.csv
8;BKS Bank AG;Depozit 24M;1000;;EUR;24;24.0;months;1.7;0.0;1.7;https://www.bksbank.si/fizicne-osebe/varcevanje/varcevanje-vezane-vloge;2026-02-24;redna ponudba;bks_depoziti.csv
8;BKS Bank AG;Depozit 36M;1000;;EUR;36;36.0;months;1.75;0.0;1.75;https://www.bksbank.si/fizicne-osebe/varcevanje/varcevanje-vezane-vloge;2026-02-24;redna ponudba;bks_depoziti.csv
7;Delavska hranilnica d.d.;Depozit 31-90 dni;100;500000.0;EUR;31;90.0;days;0.6;0.0;0.6;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-24;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
7;Delavska hranilnica d.d.;Depozit 91-180 dni;100;500000.0;EUR;91;180.0;days;0.8;0.0;0.8;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-24;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
