id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
2;OTP banka d.d.;Depozit od 8 do 14 dni;do 15.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 8 do 14 dni;nad 15.000 do 50.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 8 do 14 dni;nad 50.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 15 do 30 dni;do 15.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 15 do 30 dni;nad 15.000 do 50.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 15 do 30 dni;nad 50.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 31 do 90 dni;do 15.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 31 do 90 dni;nad 15.000 do 50.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 31 do 90 dni;nad 50.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 91 do 180 dni;do 15.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 91 do 180 dni;nad 15.000 do 50.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 91 do 180 dni;nad 50.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 181 do 365 dni;do 15.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 181 do 365 dni;nad 15.000 do 50.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
2;OTP banka d.d.;Depozit od 181 do 365 dni;nad 50.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium
