id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
6;UniCredit Banka Slovenija d.d.;Depozit 1M;1000;;EUR;1;1;months;1.1;0.09999999999999987;1.2;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 2M;1000;;EUR;2;2;months;0.7;0.10000000000000009;0.8;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 3M;1000;;EUR;3;3;months;0.7;0.10000000000000009;0.8;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 4M;1000;;EUR;4;4;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 5M;1000;;EUR;5;5;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 6M;1000;;EUR;6;6;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 7M;1000;;EUR;7;7;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 8M;1000;;EUR;8;8;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 9M;1000;;EUR;9;9;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 10M;1000;;EUR;10;10;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 11M;1000;;EUR;11;11;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 12M;1000;;EUR;12;12;months;0.9;0.09999999999999998;1.0;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (#tenor_input optimized)
6;UniCredit Banka Slovenija d.d.;Depozit 13–18M;1000;;EUR;13;18;months;1.1;0.09999999999999987;1.2;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (range class)
6;UniCredit Banka Slovenija d.d.;Depozit 24M;1000;;EUR;24;24;months;1.1;0.09999999999999987;1.2;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (single class)
6;UniCredit Banka Slovenija d.d.;Depozit 36M;1000;;EUR;36;36;months;1.1;0.09999999999999987;1.2;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (single class)
6;UniCredit Banka Slovenija d.d.;Depozit 37–60M;1000;;EUR;37;60;months;0.01;0.0;0.01;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-13;scraped via Playwright (range class)
